127.0.0.1 - - [10/Mar/2023:00:18:17 +0630] "GET / HTTP/1.1" 200 11230
127.0.0.1 - - [10/Mar/2023:00:18:18 +0630] "GET /manager/html HTTP/1.1" 401 2499
127.0.0.1 - - [10/Mar/2023:00:18:31 +0630] "GET /eorm/ HTTP/1.1" 302 -
127.0.0.1 - - [10/Mar/2023:00:18:31 +0630] "GET /eorm/login;jsessionid=7E819538D34F69647C75801B84414CDA HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "GET /eorm/style/ctpu.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "GET /eorm/script/note.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:18:34 +0630] "POST /eorm/get_cat HTTP/1.1" 200 2192
127.0.0.1 - - [10/Mar/2023:00:20:57 +0630] "GET /eorm/ HTTP/1.1" 302 -
127.0.0.1 - - [10/Mar/2023:00:20:57 +0630] "GET /eorm/login HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:20:58 +0630] "GET /eorm/script/login.js HTTP/1.1" 200 543
127.0.0.1 - - [10/Mar/2023:00:20:58 +0630] "GET /eorm/script/jquery-git.min.js HTTP/1.1" 200 78763
127.0.0.1 - - [10/Mar/2023:00:20:58 +0630] "GET /eorm/style/general_ui.css HTTP/1.1" 200 3049
127.0.0.1 - - [10/Mar/2023:00:20:58 +0630] "GET /eorm/style/login.css HTTP/1.1" 200 92
127.0.0.1 - - [10/Mar/2023:00:20:58 +0630] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [10/Mar/2023:00:21:08 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:21:08 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:21:08 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:21:08 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:21:09 +0630] "POST /eorm/get_cat HTTP/1.1" 200 2192
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/ HTTP/1.1" 302 -
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/login HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/style/general_ui.css HTTP/1.1" 200 3049
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/script/jquery-git.min.js HTTP/1.1" 200 78763
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/style/login.css HTTP/1.1" 200 92
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /eorm/script/login.js HTTP/1.1" 200 543
127.0.0.1 - - [10/Mar/2023:00:22:18 +0630] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "GET /eorm/script/note.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:22:21 +0630] "POST /eorm/get_cat HTTP/1.1" 200 152
127.0.0.1 - - [10/Mar/2023:00:22:25 +0630] "GET /eorm/login HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:22:30 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:22:30 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:22:30 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:22:30 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:22:30 +0630] "POST /eorm/get_cat HTTP/1.1" 200 2192
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/ HTTP/1.1" 302 -
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/login HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/script/login.js HTTP/1.1" 200 543
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/style/login.css HTTP/1.1" 200 92
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/script/jquery-git.min.js HTTP/1.1" 200 78763
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /eorm/style/general_ui.css HTTP/1.1" 200 3049
127.0.0.1 - - [10/Mar/2023:00:23:30 +0630] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [10/Mar/2023:00:23:33 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:23:33 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:23:33 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:23:33 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:23:33 +0630] "POST /eorm/get_cat HTTP/1.1" 200 2192
127.0.0.1 - - [10/Mar/2023:00:26:31 +0630] "GET /eorm/ HTTP/1.1" 302 -
127.0.0.1 - - [10/Mar/2023:00:26:31 +0630] "GET /eorm/login HTTP/1.1" 200 1422
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "POST /eorm/login HTTP/1.1" 200 8
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "GET /eorm/ HTTP/1.1" 200 29955
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "GET /eorm/script/note.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "GET /eorm/src/main/resources/script/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 404 682
127.0.0.1 - - [10/Mar/2023:00:26:34 +0630] "POST /eorm/get_cat HTTP/1.1" 200 2192
127.0.0.1 - - [10/Mar/2023:00:27:10 +0630] "POST /eorm/add_page HTTP/1.1" 200 2248
